Iller,1D,2D,TD,T2020N,1DBN,2DBN,Yil,DSH,IHVKHT,SSH,SSVDOH,ISBBVMIH,DYNVZ,COVID,Diger,Bilinmeyen 
Adana,,,,,,,2019,4277,1969,1300,425,519,527,,995,1387
Adana,,,,,,,2020,5276,2000,1673,350,656,537,1015,1178,830
Adana,1348048,1029671,2590578,2258720,0.5968,0.4559,2021,5075,1884,1894,132,475,558,2523,1134,1175
Adana,1348048,1029671,2590578,2258721,0.5968,0.4559,2022,4982,1881,1862,147,440,561,716,1113,1655
Adiyaman,,,,,,,2019,1097,416,402,108,132,123,,380,85
Adiyaman,,,,,,,2020,1466,339,562,91,171,126,81,369,65
Adiyaman,315862,230596,587478,632461,0.4994,0.3646,2021,1344,337,585,110,126,132,301,377,98
Adiyaman,315862,230596,587478,632462,0.4994,0.3646,2022,1130,343,533,102,110,121,68,330,123
Afyon,,,,,,,2019,2260,804,728,180,202,261,,662,93
Afyon,,,,,,,2020,2571,729,1172,274,247,240,175,698,136
Afyon,447768,357612,900127,736914,0.6076,0.4853,2021,2771,653,953,189,289,296,374,694,159
Afyon,447768,357612,900127,736915,0.6076,0.4853,2022,2521,680,818,198,247,264,120,694,213
Agri,,,,,,,2019,519,375,249,61,76,94,,293,69
Agri,,,,,,,2020,701,386,384,50,95,110,143,285,54
Agri,248839,162413,429362,535437,0.4647,0.3033,2021,690,366,318,35,96,87,370,322,111
Agri,248839,162413,429362,535438,0.4647,0.3033,2022,477,378,218,46,94,64,37,294,129
Amasya,,,,,,,2019,1080,446,312,132,107,98,,326,76
Amasya,,,,,,,2020,1141,436,465,150,99,94,129,374,95
Amasya,240689,206444,510703,335496,0.7174,0.6153,2021,1274,476,411,81,83,96,604,365,99
Amasya,240689,206444,510703,335497,0.7174,0.6153,2022,1191,446,407,102,100,54,179,424,170
Ankara,,,,,,,2019,9179,5527,2983,1525,1462,1107,,3842,797
Ankara,,,,,,,2020,11583,5837,4823,1584,2215,1009,785,4165,1006
Ankara,3842998,3117524,7673270,5663324,0.6786,0.5505,2021,10924,5903,3585,1298,1829,1012,2647,4553,1376
Ankara,3842998,3117524,7673270,5663325,0.6786,0.5505,2022,10205,5695,3398,1086,1705,827,1023,4660,2259
Antalya,,,,,,,2019,4310,2246,1279,639,550,707,,1262,391
Antalya,,,,,,,2020,4674,2440,1508,636,674,651,223,1339,198
Antalya,1750732,1412537,3490360,2548310,0.6870,0.5543,2021,5408,2351,1824,648,818,864,1522,1925,283
Antalya,1750732,1412537,3490360,2548311,0.6870,0.5543,2022,5105,2300,1593,642,851,843,682,1788,404
Artvin,,,,,,,2019,578,286,197,60,54,58,,176,36
Artvin,,,,,,,2020,598,269,233,57,64,53,131,185,37
Artvin,120138,104776,259773,169503,0.7088,0.6181,2021,649,231,198,54,81,55,167,225,39
Artvin,120138,104776,259773,169504,0.7088,0.6181,2022,651,221,203,61,81,64,77,238,75
Aydin,,,,,,,2019,3926,1371,1186,236,181,376,,858,164
Aydin,,,,,,,2020,4059,1238,1562,244,264,356,196,896,281
Aydin,798089,686587,1717526,1119086,0.7132,0.6135,2021,4457,1325,1639,221,313,380,569,1074,353
Aydin,798089,686587,1717526,1119087,0.7132,0.6135,2022,4023,1128,1398,212,268,304,291,1049,1044
Balikesir,,,,,,,2019,4676,1890,1631,511,327,373,,1214,279
Balikesir,,,,,,,2020,4874,1785,1768,384,413,390,313,946,397
Balikesir,932479,825235,2056016,1240287,0.7518,0.6654,2021,5577,1799,1695,302,407,413,2098,1026,487
Balikesir,932479,825235,2056016,1240288,0.7518,0.6654,2022,5517,1659,1671,320,378,391,876,924,791
Bilecik,,,,,,,2019,628,304,207,82,110,56,,181,28
Bilecik,,,,,,,2020,719,273,214,77,106,50,190,164,33
Bilecik,151835,127828,313384,218719,0.6942,0.5844,2021,690,319,220,90,100,63,334,151,57
Bilecik,151835,127828,313384,218720,0.6942,0.5844,2022,727,294,212,74,79,58,98,200,49
Bingöl,,,,,,,2019,385,208,90,30,33,42,,165,105
Bingöl,,,,,,,2020,491,197,153,36,34,42,62,219,94
Bingöl,136346,96915,251647,281770,0.4839,0.3440,2021,473,218,156,30,23,53,162,182,101
Bingöl,136346,96915,251647,281771,0.4839,0.3439,2022,409,196,162,39,34,41,27,168,71
Bitlis,,,,,,,2019,394,233,105,52,55,40,,212,116
Bitlis,,,,,,,2020,430,216,258,55,61,52,107,209,102
Bitlis,162681,100097,277121,350996,0.4635,0.2852,2021,454,182,227,39,66,43,135,233,75
Bitlis,162681,100097,277121,350997,0.4635,0.2852,2022,445,203,178,28,43,52,33,238,78
Bolu,,,,,,,2019,923,330,357,86,76,77,,317,77
Bolu,,,,,,,2020,1049,350,450,86,89,75,99,319,64
Bolu,212428,178048,444163,314804,0.6748,0.5656,2021,1087,337,400,83,93,70,287,378,77
Bolu,212428,178048,444163,314805,0.6748,0.5656,2022,1013,326,503,84,57,75,101,290,136
Burdur,,,,,,,2019,909,295,252,136,131,128,,229,50
Burdur,,,,,,,2020,947,341,319,124,140,122,164,245,36
Burdur,190286,163174,409571,267094,0.7124,0.6109,2021,979,312,258,116,154,118,298,286,44
Burdur,190286,163174,409571,267095,0.7124,0.6109,2022,990,293,253,113,180,135,158,302,56
Bursa,,,,,,,2019,7258,3451,2062,876,344,682,,1570,463
Bursa,,,,,,,2020,8202,3406,2658,948,370,632,563,1770,869
Bursa,1972296,1551536,3857928,3101835,0.6358,0.5002,2021,7975,3404,3139,934,562,757,2263,1983,1061
Bursa,1972296,1551536,3857928,3101836,0.6358,0.5002,2022,7692,3424,2503,938,657,584,855,1769,1328
Canakkale,,,,,,,2019,2011,773,646,308,94,184,,479,41
Canakkale,,,,,,,2020,2060,788,812,269,125,175,45,377,69
Canakkale,421999,371453,918796,541550,0.7792,0.6859,2021,2511,859,859,263,123,171,608,481,89
Canakkale,421999,371453,918796,541551,0.7792,0.6859,2022,2630,764,908,250,115,173,262,359,137
Cankiri,,,,,,,2019,703,269,242,54,83,69,,211,100
Cankiri,,,,,,,2020,821,273,344,53,122,65,167,215,58
Cankiri,120189,104491,265075,192430,0.6246,0.5430,2021,760,248,299,68,125,48,240,283,78
Cankiri,120189,104491,265075,192431,0.6246,0.5430,2022,732,241,248,57,142,42,79,273,94
Corum,,,,,,,2019,1893,657,421,152,148,187,,564,227
Corum,,,,,,,2020,2195,584,581,132,143,160,324,559,256
Corum,348713,295019,726476,530128,0.6578,0.5565,2021,1892,540,570,106,181,158,231,625,692
Corum,348713,295019,726476,530129,0.6578,0.5565,2022,1882,518,639,102,141,165,44,766,483
Denizli,,,,,,,2019,3166,1054,868,304,197,312,,626,178
Denizli,,,,,,,2020,3320,1120,1259,366,244,298,333,647,308
Denizli,709425,582378,1437172,1040917,0.6815,0.5595,2021,3184,1093,806,408,264,278,799,782,496
Denizli,709425,582378,1437172,1040918,0.6815,0.5595,2022,3041,1054,805,361,234,264,388,757,665
Diyarbakir,,,,,,,2019,2222,831,572,248,223,230,,761,534
Diyarbakir,,,,,,,2020,2833,944,949,265,292,285,247,1018,425
Diyarbakir,745769,489193,1310641,1783433,0.4182,0.2743,2021,2784,998,743,288,308,314,534,1147,486
Diyarbakir,745769,489193,1310641,1783434,0.4182,0.2743,2022,2226,956,571,259,280,308,42,895,413
Edirne,,,,,,,2019,1449,790,448,117,100,120,,432,91
Edirne,,,,,,,2020,1515,722,601,124,149,100,91,411,67
Edirne,313452,276973,685089,407765,0.7687,0.6792,2021,1731,689,678,91,169,117,624,401,102
Edirne,313452,276973,685089,407766,0.7687,0.6792,2022,1617,631,903,79,123,112,275,340,170
Elazig,,,,,,,2019,1244,619,367,203,194,170,,420,94
Elazig,,,,,,,2020,1351,577,543,248,249,175,401,429,135
Elazig,319820,249990,630891,587960,0.5439,0.4252,2021,1445,594,486,184,217,176,700,380,152
Elazig,319820,249990,630891,587960,0.5439,0.4252,2022,1236,649,511,232,241,165,176,343,206
Erzincan,,,,,,,2019,578,297,159,74,68,52,,188,113
Erzincan,,,,,,,2020,613,289,197,52,76,60,158,148,93
Erzincan,145174,119881,302910,234431,0.6193,0.5114,2021,687,263,248,51,58,58,237,219,108
Erzincan,145174,119881,302910,234431,0.6193,0.5114,2022,615,243,321,50,63,52,50,216,127
Erzurum,,,,,,,2019,1463,899,496,190,199,133,,613,109
Erzurum,,,,,,,2020,1639,834,730,206,250,178,310,542,117
Erzurum,408520,307878,788356,758279,0.5387,0.4060,2021,1725,818,768,223,217,168,511,537,126
Erzurum,408520,307878,788356,758279,0.5387,0.4060,2022,1541,801,593,186,191,174,46,584,196
Eskisehir,,,,,,,2019,1820,1177,649,408,405,283,,863,240
Eskisehir,,,,,,,2020,1870,1300,856,431,476,240,181,861,243
Eskisehir,632540,535449,1315065,888828,0.7117,0.6024,2021,2131,1265,930,404,449,222,915,993,226
Eskisehir,632540,535449,1315065,888828,0.7117,0.6024,2022,2131,1160,835,355,413,235,483,997,333
Gaziantep,,,,,,,2019,3162,1067,837,295,337,193,,1547,796
Gaziantep,,,,,,,2020,3703,933,1278,217,420,200,1107,1410,961
Gaziantep,1122649,742549,1977473,2101157,0.5343,0.3534,2021,3495,937,1164,204,348,212,1578,1324,1131
Gaziantep,1122649,742549,1977473,2101157,0.5343,0.3534,2022,3237,887,968,240,322,279,374,1341,1205
Giresun,,,,,,,2019,1534,624,575,134,110,78,,458,307
Giresun,,,,,,,2020,1521,621,688,168,165,82,140,509,215
Giresun,318257,284456,700514,448721,0.7093,0.6339,2021,1717,594,680,164,149,108,860,515,265
Giresun,318257,284456,700514,448721,0.7093,0.6339,2022,1628,621,674,139,125,79,357,538,318
Gumushane,,,,,,,2019,382,163,127,55,51,34,,124,57
Gumushane,,,,,,,2020,370,139,156,41,65,35,92,125,71
Gumushane,72493,60292,155934,141702,0.5116,0.4255,2021,418,154,122,39,45,38,203,142,65
Gumushane,72493,60292,155934,141702,0.5116,0.4255,2022,363,160,171,53,67,35,54,151,87
Hakkari,,,,,,,2019,189,82,69,19,26,34,,105,245
Hakkari,,,,,,,2020,270,99,132,19,42,36,51,135,180
Hakkari,158692,99697,265125,280514,0.5657,0.3554,2021,239,87,116,13,24,47,14,138,154
Hakkari,158692,99697,265125,280514,0.5657,0.3554,2022,229,112,80,7,15,35,1,123,92
Hatay,,,,,,,2019,3178,949,1024,271,300,305,,1275,308
Hatay,,,,,,,2020,3706,988,1957,316,395,247,233,1276,480
Hatay,965655,701925,1793607,1659320,0.5820,0.4230,2021,3699,975,1799,232,410,220,523,1648,523
Hatay,965655,701925,1793607,1659320,0.5820,0.4230,2022,3400,925,1487,228,272,250,136,1496,524
Isparta,,,,,,,2019,1229,468,475,177,153,124,,430,97
Isparta,,,,,,,2020,1347,381,701,175,167,160,88,502,93
Isparta,301967,253711,639927,440304,0.6858,0.5762,2021,1305,432,432,154,161,150,376,568,89
Isparta,301967,253711,639927,440304,0.6858,0.5762,2022,1225,415,421,196,168,153,186,595,133
Mersin,,,,,,,2019,3405,1619,1108,512,499,477,,1538,235
Mersin,,,,,,,2020,3863,1572,1437,509,528,552,500,1468,219
Mersin,1218439,960740,2427533,1868757,0.6520,0.5141,2021,3981,1580,1643,316,685,546,2146,1466,309
Mersin,1218439,960740,2427533,1868757,0.6520,0.5141,2022,3895,1635,1519,323,687,625,862,1655,348
Istanbul,,,,,,,2019,21464,14161,8139,3215,2743,2374,,9799,1591
Istanbul,,,,,,,2020,22747,14678,11687,3348,3644,2212,5039,10237,2815
Istanbul,9616613,7332070,18206363,15462452,0.6219,0.4742,2021,23245,13882,11684,3045,3506,1753,12627,10390,4111
Istanbul,9616613,7332070,18206363,15462452,0.6219,0.4742,2022,21253,13144,10433,2872,3551,1276,4288,10654,6280
Izmir,,,,,,,2019,10224,5096,4593,854,1086,1047,,3734,953
Izmir,,,,,,,2020,10968,5022,5682,877,1190,1262,289,3664,983
Izmir,3104220,2584666,6375648,4394694,0.7064,0.5881,2021,11929,5202,6146,1075,1380,1247,1789,4301,1146
Izmir,3104220,2584666,6375648,4394694,0.7064,0.5881,2022,11458,4977,5608,997,1265,937,389,4041,2960
Kars,,,,,,,2019,550,271,217,46,32,76,,189,101
Kars,,,,,,,2020,553,267,223,43,44,89,115,201,50
Kars,155801,118157,297213,284923,0.5468,0.4147,2021,527,271,205,43,56,79,169,200,29
Kars,155801,118157,297213,284923,0.5468,0.4147,2022,465,269,194,47,56,75,49,243,33
Kastamonu,,,,,,,2019,1439,594,632,155,190,153,,518,104
Kastamonu,,,,,,,2020,1480,540,713,125,231,100,301,469,103
Kastamonu,255956,226408,560199,376377,0.6801,0.6015,2021,1601,541,722,131,179,127,742,523,209
Kastamonu,255956,226408,560199,376377,0.6801,0.6015,2022,1532,552,608,134,188,113,242,634,210
Kayseri,,,,,,,2019,2024,1304,1138,429,425,329,,1165,165
Kayseri,,,,,,,2020,2565,1306,1698,489,608,305,63,1371,234
Kayseri,869619,672495,1704324,1421455,0.6118,0.4731,2021,2569,1279,1890,484,582,365,735,1587,340
Kayseri,869619,672495,1704324,1421455,0.6118,0.4731,2022,2436,1177,1118,495,555,353,339,1257,376
Kirklareli,,,,,,,2019,1144,650,354,123,116,95,,327,133
Kirklareli,,,,,,,2020,1295,647,407,130,114,90,123,312,147
Kirklareli,275895,238036,582723,361737,0.7627,0.6580,2021,1394,643,465,104,146,90,528,339,164
Kirklareli,275895,238036,582723,361737,0.7627,0.6580,2022,1310,614,577,86,180,78,358,368,195
Kirşehir,,,,,,,2019,616,306,208,56,84,50,,243,73
Kirşehir,,,,,,,2020,798,230,311,40,66,83,54,228,87
Kirşehir,156245,131522,327585,243042,0.6429,0.5411,2021,804,278,233,20,80,87,150,289,107
Kirşehir,156245,131522,327585,243042,0.6429,0.5411,2022,838,236,151,38,49,67,62,255,111
Kocaeli,,,,,,,2019,2718,1896,1256,389,460,358,,1377,267
Kocaeli,,,,,,,2020,3023,1892,1613,414,532,309,492,1214,368
Kocaeli,1236348,951451,2374559,1997258,0.6190,0.4764,2021,3401,1841,1488,429,558,346,2317,1428,406
Kocaeli,1236348,951451,2374559,1997258,0.6190,0.4764,2022,3278,1863,1451,418,549,356,719,1396,574
Konya,,,,,,,2019,4147,2214,1569,588,690,575,,1800,301
Konya,,,,,,,2020,5290,2253,3037,579,707,545,433,1914,470
Konya,1288418,985292,2529761,2250020,0.5726,0.4379,2021,4968,2039,1890,493,623,548,396,1666,3603
Konya,1288418,985292,2529761,2250020,0.5726,0.4379,2022,4722,2006,1683,533,578,473,45,1555,1643
Kutahya,,,,,,,2019,1698,759,573,261,358,229,,654,205
Kutahya,,,,,,,2020,1913,663,898,186,297,196,346,534,250
Kutahya,370542,305985,760562,576688,0.6425,0.5306,2021,1950,670,770,180,303,186,1196,579,142
Kutahya,370542,305985,760562,576688,0.6425,0.5306,2022,1947,649,678,204,271,170,396,655,219
Malatya,,,,,,,2019,1617,769,550,228,218,128,,622,191
Malatya,,,,,,,2020,2104,789,828,245,271,159,48,877,196
Malatya,476223,369869,945543,806156,0.5907,0.4588,2021,2303,808,733,230,240,126,269,743,322
Malatya,476223,369869,945543,806156,0.5907,0.4588,2022,1677,768,619,241,225,154,56,549,387
Manisa,,,,,,,2019,3944,1614,1375,351,436,485,,1345,390
Manisa,,,,,,,2020,4481,1524,2480,370,454,430,380,1264,391
Manisa,984282,786934,1961779,1450616,0.6785,0.5425,2021,4475,1560,1782,322,473,501,1097,1658,386
Manisa,984282,786934,1961779,1450616,0.6785,0.5425,2022,4548,1464,1717,289,468,381,351,1760,737
Kahramanmaras,,,,,,,2019,2103,759,634,191,206,227,,770,275
Kahramanmaras,,,,,,,2020,2398,714,1002,227,287,247,455,746,315
Kahramanmaras,640525,461909,1198574,1168163,0.5483,0.3954,2021,2308,697,927,168,258,268,1045,720,288
Kahramanmaras,640525,461909,1198574,1168163,0.5483,0.3954,2022,2219,716,824,152,254,253,292,670,357
Mardin,,,,,,,2019,943,383,299,140,130,148,,531,179
Mardin,,,,,,,2020,1228,341,586,118,155,143,101,798,139
Mardin,366054,221952,617141,854716,0.4283,0.2597,2021,1208,360,451,94,151,148,206,735,211
Mardin,366054,221952,617141,854716,0.4283,0.2597,2022,1125,350,364,92,112,123,43,527,253
Mugla,,,,,,,2019,1949,1146,741,369,328,332,,656,341
Mugla,,,,,,,2020,2082,1216,771,398,387,328,188,651,306
Mugla,832268,720308,1774452,1000773,0.8316,0.7198,2021,2468,1160,711,415,442,361,817,744,475
Mugla,832268,720308,1774452,1000773,0.8316,0.7198,2022,2511,1104,684,357,517,454,553,814,567
Mus,,,,,,,2019,451,238,113,48,71,91,,265,102
Mus,,,,,,,2020,510,238,256,62,56,81,90,197,104
Mus,177204,111776,305465,411117,0.4310,0.2719,2021,479,241,246,25,39,73,239,228,142
Mus,177204,111776,305465,411117,0.4310,0.2719,2022,465,242,222,31,54,75,35,256,66
Nevsehir,,,,,,,2019,632,367,307,85,112,86,,300,112
Nevsehir,,,,,,,2020,720,354,486,77,109,98,81,333,98
Nevsehir,189170,152577,381789,304962,0.6203,0.5003,2021,779,322,493,88,135,81,261,349,92
Nevsehir,189170,152577,381789,304962,0.6203,0.5003,2022,738,308,271,81,136,86,83,386,115
Nigde,,,,,,,2019,723,372,379,67,81,130,,351,52
Nigde,,,,,,,2020,822,357,336,89,73,94,173,351,35
Nigde,207456,165800,421816,362071,0.5730,0.4579,2021,789,349,373,70,107,114,314,445,61
Nigde,207456,165800,421816,362071,0.5730,0.4579,2022,820,379,284,72,115,103,68,507,96
Ordu,,,,,,,2019,2104,975,772,264,256,163,,661,244
Ordu,,,,,,,2020,2272,884,1003,246,318,172,220,687,142
Ordu,526069,458242,1111969,761400,0.6909,0.6018,2021,2774,965,1189,251,413,211,880,722,307
Ordu,526069,458242,1111969,761400,0.6909,0.6018,2022,2512,903,1049,290,364,200,357,687,538
Rize,,,,,,,2019,849,530,336,144,111,103,,261,120
Rize,,,,,,,2020,931,490,414,116,110,81,102,344,70
Rize,231261,191467,483449,344359,0.6716,0.5560,2021,949,480,359,124,148,99,584,314,96
Rize,231261,191467,483449,344359,0.6716,0.5560,2022,950,448,404,110,124,100,232,339,129
Sakarya,,,,,,,2019,2301,1268,621,281,349,162,,795,416
Sakarya,,,,,,,2020,2806,1131,830,320,396,167,125,808,350
Sakarya,625394,493345,1239034,1042649,0.5998,0.4732,2021,3248,1233,872,327,439,204,630,927,353
Sakarya,625394,493345,1239034,1042649,0.5998,0.4732,2022,2721,1269,752,332,424,210,138,939,261
Samsun,,,,,,,2019,3603,1566,1182,462,199,344,,1051,373
Samsun,,,,,,,2020,3954,1405,1634,405,171,321,537,1080,271
Samsun,889577,731001,1812339,1356079,0.6560,0.5391,2021,4160,1452,1735,386,188,352,2315,1233,266
Samsun,889577,731001,1812339,1356079,0.6560,0.5391,2022,4036,1495,1405,386,251,360,723,1349,413
Siirt,,,,,,,2019,366,122,128,33,36,67,,225,90
Siirt,,,,,,,2020,432,111,196,39,43,57,173,205,93
Siirt,143366,92096,245874,331070,0.4330,0.2782,2021,450,123,149,29,42,80,122,280,106
Siirt,143366,92096,245874,331070,0.4330,0.2782,2022,440,93,130,31,42,68,23,211,62
Sinop,,,,,,,2019,874,356,270,89,87,68,,248,52
Sinop,,,,,,,2020,975,311,427,107,126,65,101,261,87
Sinop,148471,133320,329028,216460,0.6859,0.6159,2021,986,360,416,93,130,88,283,348,66
Sinop,148471,133320,329028,216460,0.6859,0.6159,2022,960,382,382,93,112,89,108,346,105
Sivas,,,,,,,2019,1576,840,603,187,178,150,,607,164
Sivas,,,,,,,2020,1857,733,770,222,291,187,365,569,203
Sivas,389022,323439,817012,635889,0.6118,0.5086,2021,2047,740,684,146,237,164,809,536,231
Sivas,389022,323439,817012,635889,0.6118,0.5086,2022,1854,699,606,152,300,178,181,589,347
Tekirdag,,,,,,,2019,2112,1260,689,266,162,250,,679,245
Tekirdag,,,,,,,2020,2375,1235,918,242,225,213,171,690,281
Tekirdag,759931,617914,1526432,1081065,0.7029,0.5716,2021,2498,1286,838,272,307,214,851,773,470
Tekirdag,759931,617914,1526432,1081065,0.7029,0.5716,2022,2449,1286,967,294,291,226,391,801,469
Tokat,,,,,,,2019,1751,810,632,238,223,170,,623,117
Tokat,,,,,,,2020,2008,755,791,237,275,135,180,536,132
Tokat,380263,320440,796654,597861,0.6360,0.5360,2021,2226,782,754,240,299,137,822,578,178
Tokat,380263,320440,796654,597861,0.6360,0.5360,2022,1879,700,611,208,335,101,242,656,276
Trabzon,,,,,,,2019,1916,1017,739,240,188,167,,562,365
Trabzon,,,,,,,2020,2058,997,821,240,227,200,249,784,334
Trabzon,526375,441536,1096999,811901,0.6483,0.5438,2021,2309,929,843,144,284,184,1040,1026,305
Trabzon,526375,441536,1096999,811901,0.6483,0.5438,2022,2110,1036,830,183,253,209,567,777,373
Tunceli,,,,,,,2019,216,120,76,30,23,37,,58,54
Tunceli,,,,,,,2020,274,113,80,29,36,34,52,94,41
Tunceli,58524,51714,126923,83443,0.7014,0.6198,2021,234,83,117,22,18,25,87,60,50
Tunceli,58524,51714,126923,83443,0.7014,0.6198,2022,249,93,99,27,24,22,32,67,49
Sanliurfa,,,,,,,2019,2159,699,689,262,245,382,,1495,598
Sanliurfa,,,,,,,2020,2313,651,1365,240,290,231,208,1428,581
Sanliurfa,776845,450514,1283192,2115256,0.3673,0.2130,2021,2504,701,1092,248,297,367,538,1563,815
Sanliurfa,776845,450514,1283192,2115256,0.3673,0.2130,2022,2163,678,736,236,274,289,39,1537,740
Usak,,,,,,,2019,1041,409,326,126,170,93,,419,144
Usak,,,,,,,2020,1142,385,479,142,199,131,298,359,116
Usak,250548,205599,508901,369433,0.6782,0.5565,2021,1013,431,343,112,192,109,380,356,111
Usak,250548,205599,508901,369433,0.6782,0.5565,2022,1149,385,370,135,187,127,103,404,126
Van,,,,,,,2019,923,664,451,127,141,179,,637,186
Van,,,,,,,2020,1132,672,855,117,213,143,152,689,252
Van,555308,375746,973070,1149342,0.4832,0.3269,2021,1258,643,787,82,188,181,317,611,193
Van,555308,375746,973070,1149342,0.4832,0.3269,2022,975,595,495,83,141,161,19,578,224
Yozgat,,,,,,,2019,1245,453,484,86,104,98,,440,188
Yozgat,,,,,,,2020,1371,416,824,86,131,125,94,327,244
Yozgat,243990,197203,501611,419095,0.5822,0.4705,2021,1402,440,875,76,115,97,141,344,372
Yozgat,243990,197203,501611,419095,0.5822,0.4705,2022,1382,389,558,86,106,110,40,382,288
Zonguldak,,,,,,,2019,1438,800,750,183,313,178,,375,275
Zonguldak,,,,,,,2020,1608,785,688,151,312,161,268,324,325
Zonguldak,398392,336195,822774,591204,0.6739,0.5687,2021,1727,765,598,169,307,151,1048,435,344
Zonguldak,398392,336195,822774,591204,0.6739,0.5687,2022,1661,771,688,189,277,160,333,435,445
Aksaray,,,,,,,2019,781,359,254,106,142,97,,253,98
Aksaray,,,,,,,2020,838,356,303,95,192,102,173,254,122
Aksaray,235389,177807,454045,423011,0.5565,0.4203,2021,837,408,267,87,156,126,451,276,174
Aksaray,235389,177807,454045,423011,0.5565,0.4203,2022,866,361,276,81,143,100,107,291,198
Bayburt,,,,,,,2019,162,92,77,20,22,26,,65,18
Bayburt,,,,,,,2020,219,108,71,38,26,22,61,57,15
Bayburt,44694,35108,90527,81910,0.5456,0.4286,2021,218,89,58,30,21,25,145,68,16
Bayburt,44694,35108,90527,81910,0.5456,0.4286,2022,176,97,50,24,20,26,21,91,19
Karaman,,,,,,,2019,585,245,165,61,75,77,,227,73
Karaman,,,,,,,2020,700,199,295,77,77,79,91,182,70
Karaman,158196,125126,317400,254919,0.6206,0.4908,2021,650,186,244,61,80,56,166,211,266
Karaman,158196,125126,317400,254919,0.6206,0.4908,2022,614,197,211,71,78,81,6,257,172
Kirikkale,,,,,,,2019,899,286,234,70,135,98,,179,33
Kirikkale,,,,,,,2020,1019,336,323,56,175,99,81,199,42
Kirikkale,174788,142637,357251,278703,0.6271,0.5118,2021,978,343,248,95,227,83,239,264,46
Kirikkale,174788,142637,357251,278703,0.6271,0.5118,2022,945,328,218,88,222,83,60,238,49
Batman,,,,,,,2019,651,299,204,95,66,64,,293,197
Batman,,,,,,,2020,740,256,423,98,99,78,184,337,153
Batman,266661,169411,458134,620278,0.4299,0.2731,2021,743,268,338,67,67,101,379,330,119
Batman,266661,169411,458134,620278,0.4299,0.2731,2022,681,237,260,53,58,144,9,305,158
Sirnak,,,,,,,2019,394,141,163,52,35,121,,280,111
Sirnak,,,,,,,2020,497,144,275,61,55,123,62,360,132
Sirnak,249378,160289,422678,537762,0.4637,0.2981,2021,501,165,206,44,61,96,93,294,94
Sirnak,249378,160289,422678,537762,0.4637,0.2981,2022,434,149,124,35,55,116,13,253,123
Bartin,,,,,,,2019,610,262,276,44,99,54,,188,37
Bartin,,,,,,,2020,668,198,307,52,80,44,19,206,50
Bartin,140482,121422,294805,198979,0.7060,0.6102,2021,693,254,310,49,126,62,144,263,72
Bartin,140482,121422,294805,198979,0.7060,0.6102,2022,732,254,279,62,101,99,70,244,67
Ardahan,,,,,,,2019,263,111,109,32,35,33,,65,13
Ardahan,,,,,,,2020,293,136,142,17,20,29,88,85,12
Ardahan,64786,51925,132184,96161,0.6737,0.5400,2021,256,129,133,19,33,25,89,81,18
Ardahan,64786,51925,132184,96161,0.6737,0.5400,2022,268,130,132,14,31,29,28,89,27
Igdir,,,,,,,2019,269,130,122,43,38,45,,87,53
Igdir,,,,,,,2020,285,130,132,33,30,45,26,123,36
Igdir,103139,71283,186600,201314,0.5123,0.3541,2021,313,156,123,29,33,28,92,110,37
Igdir,103139,71283,186600,201314,0.5123,0.3541,2022,275,159,109,37,45,49,32,107,42
Yalova,,,,,,,2019,554,325,225,85,65,54,,209,58
Yalova,,,,,,,2020,612,326,298,67,90,58,68,239,59
Yalova,198125,165786,417778,276050,0.7177,0.6006,2021,672,335,342,89,93,55,366,257,74
Yalova,198125,165786,417778,276050,0.7177,0.6006,2022,740,341,301,80,97,62,168,282,93
Karabük,,,,,,,2019,689,314,204,75,96,70,,262,44
Karabük,,,,,,,2020,753,326,250,93,82,64,130,236,31
Karabük,160669,133883,331926,243614,0.6595,0.5496,2021,860,301,224,76,120,76,337,281,27
Karabük,160669,133883,331926,243614,0.6595,0.5496,2022,832,284,255,71,140,68,134,272,66
Kilis,,,,,,,2019,310,101,120,29,63,32,,126,72
Kilis,,,,,,,2020,317,71,110,22,72,42,103,103,97
Kilis,91218,60831,162581,142792,0.6388,0.4260,2021,299,82,123,37,68,44,181,112,89
Kilis,91218,60831,162581,142792,0.6388,0.4260,2022,222,87,103,33,44,48,34,103,198
Osmaniye,,,,,,,2019,1053,380,321,108,128,164,,319,94
Osmaniye,,,,,,,2020,1228,414,437,88,114,156,219,289,100
Osmaniye,337356,265132,664227,548556,0.6150,0.4833,2021,1273,375,387,59,93,157,951,305,146
Osmaniye,337356,265132,664227,548556,0.6150,0.4833,2022,1222,340,508,67,110,147,185,273,285
Duzce,,,,,,,2019,907,398,343,103,114,100,,341,79
Duzce,,,,,,,2020,1010,405,386,76,95,102,59,449,64
Duzce,242045,194517,481161,395679,0.6117,0.4916,2021,1070,420,418,127,151,98,236,490,99
Duzce,242045,194517,481161,395679,0.6117,0.4916,2022,956,414,410,118,137,94,106,355,143
Turkiye,,,,,,,2019,163014,80720,57065,20196,19210,18293,,59992,18134
Turkiye,,,,,,,2020,183442,79916,80284,20366,23401,17824,22274,61658,19883
Turkiye,51768368,40619203,101881645,83614362,0.6191,0.4858,2021,189876,79290,76126,18576,23639,18223,65366,66929,28460
Turkiye,51768368,40619203,101881645,83614362,0.6191,0.4858,2022,178501,76657,68370,18117,22832,16867,22025,65694,35776
